iter	Passed	Remaining
153	896	4922
154	897	4890
155	898	4861
156	899	4832
157	901	4803
158	902	4776
159	907	4765
160	911	4749
161	912	4722
162	914	4694
163	917	4675
164	918	4649
165	924	4646
166	927	4628
167	929	4603
168	931	4578
169	932	4553
170	941	4565
171	943	4540
172	944	4516
173	965	4582
174	978	4612
175	979	4587
176	988	4597
177	990	4573
178	994	4559
179	995	4534
180	996	4510
181	1006	4524
182	1008	4501
183	1010	4480
184	1012	4458
185	1021	4469
186	1022	4446
187	1024	4425
188	1026	4402
189	1027	4381
190	1028	4357
191	1034	4351
192	1035	4331
193	1036	4308
194	1038	4285
195	1039	4262
196	1040	4240
197	1041	4218
198	1044	4202
199	1047	4188
200	1048	4167
201	1049	4145
202	1050	4124
203	1051	4103
204	1052	4082
205	1053	4060
206	1054	4038
207	1055	4017
208	1055	3996
209	1056	3974
210	1064	3978
211	1066	3962
212	1066	3942
213	1067	3921
214	1068	3902
215	1069	3882
216	1070	3863
217	1072	3848
218	1075	3837
219	1076	3818
220	1077	3799
221	1078	3780
222	1080	3764
223	1081	3745
224	1082	3727
225	1083	3709
226	1083	3691
227	1084	3672
228	1085	3654
229	1086	3636
230	1092	3637
231	1093	3620
232	1094	3603
233	1095	3587
234	1097	3571
235	1098	3554
236	1098	3537
237	1099	3520
238	1103	3512
239	1104	3497
240	1105	3482
241	1106	3465
242	1107	3449
243	1108	3433
244	1108	3417
245	1109	3401
246	1110	3385
247	1111	3370
248	1112	3354
249	1114	3342
250	1118	3336
251	1120	3325
252	1121	3310
253	1122	3296
254	1123	3283
255	1125	3271
256	1126	3257
257	1129	3247
258	1141	3264
259	1143	3254
260	1144	3240
261	1159	3267
262	1161	3253
263	1173	3272
264	1174	3257
265	1175	3243
266	1176	3228
267	1176	3214
268	1188	3229
269	1190	3217
270	1191	3204
271	1192	3190
272	1192	3176
273	1203	3190
274	1205	3177
275	1206	3163
276	1207	3151
277	1208	3138
278	1214	3139
279	1223	3145
280	1224	3133
281	1232	3138
282	1234	3127
283	1235	3114
284	1236	3101
285	1237	3088
286	1237	3075
287	1238	3062
288	1239	3049
289	1252	3067
290	1254	3055
291	1255	3043
292	1266	3055
293	1268	3045
294	1269	3033
295	1270	3021
296	1271	3009
297	1279	3013
298	1281	3003
299	1282	2991
300	1283	2979
301	1290	2981
302	1291	2970
303	1293	2961
304	1294	2949
305	1295	2937
306	1296	2925
307	1297	2914
308	1297	2902
309	1304	2902
310	1307	2896
311	1309	2888
312	1310	2876
313	1311	2865
314	1312	2853
315	1313	2842
316	1319	2842
317	1320	2831
318	1321	2821
319	1322	2810
320	1323	2799
321	1324	2788
322	1324	2776
323	1337	2789
324	1338	2780
325	1339	2769
326	1340	2759
327	1346	2759
328	1351	2757
329	1352	2746
330	1353	2736
331	1354	2725
332	1355	2714
333	1356	2704
334	1356	2693
335	1359	2686
336	1360	2676
337	1361	2665
338	1369	2669
339	1370	2659
340	1370	2649
341	1371	2639
342	1372	2629
343	1375	2622
344	1376	2613
345	1382	2613
346	1390	2617
347	1391	2607
348	1392	2597
349	1399	2599
350	1401	2591
351	1402	2582
352	1403	2572
353	1404	2563
354	1405	2553
355	1406	2543
356	1406	2534
357	1407	2524
358	1408	2515
359	1422	2528
360	1423	2518
361	1423	2509
362	1432	2513
363	1435	2508
364	1436	2499
365	1437	2490
366	1438	2481
367	1439	2471
368	1440	2462
369	1446	2463
370	1448	2455
371	1450	2449
372	1452	2441
373	1453	2432
374	1454	2423
375	1455	2414
376	1455	2405
377	1463	2407
378	1467	2404
379	1469	2396
380	1470	2389
381	1471	2380
382	1484	2391
383	1485	2382
384	1486	2374
385	1487	2365
386	1487	2356
387	1490	2351
388	1491	2343
389	1494	2337
390	1495	2329
391	1496	2320
392	1496	2311
393	1511	2325
394	1512	2317
395	1519	2317
396	1522	2311
397	1523	2304
398	1524	2296
399	1525	2287
400	1526	2279
401	1526	2271
402	1527	2262
403	1541	2274
404	1542	2266
405	1543	2257
406	1553	2263
407	1554	2255
408	1555	2248
409	1556	2240
410	1557	2232
411	1558	2224
412	1571	2234
413	1572	2226
414	1573	2218
415	1574	2210
416	1575	2202
417	1584	2206
418	1587	2200
419	1588	2193
420	1589	2185
421	1590	2177
422	1602	2186
423	1604	2179
424	1605	2172
425	1606	2164
426	1613	2165
427	1615	2159
428	1616	2152
429	1618	2146
430	1619	2138
431	1620	2131
432	1621	2123
433	1635	2133
434	1636	2125
435	1637	2118
436	1648	2123
437	1650	2117
438	1651	2110
439	1652	2103
440	1653	2095
441	1659	2094
442	1661	2088
443	1665	2085
444	1666	2077
445	1666	2070
446	1667	2063
447	1677	2066
448	1678	2060
449	1680	2053
450	1681	2046
451	1682	2039
452	1682	2032
453	1683	2024
454	1693	2028
455	1696	2024
456	1697	2017
457	1698	2010
458	1705	2010
459	1709	2007
460	1710	2000
461	1711	1993
462	1712	1986
463	1713	1979
464	1714	1972
465	1725	1977
466	1727	1971
467	1727	1964
468	1728	1957
469	1729	1950
470	1730	1943
471	1741	1948
472	1743	1942
473	1744	1935
474	1745	1928
475	1745	1921
476	1758	1928
477	1759	1921
478	1760	1914
479	1761	1907
480	1761	1901
481	1768	1900
482	1770	1895
483	1771	1888
484	1772	1882
485	1773	1875
486	1774	1868
487	1774	1862
488	1775	1855
489	1776	1848
490	1777	1842
491	1790	1849
492	1791	1842
493	1792	1836
494	1800	1837
495	1804	1833
496	1805	1827
497	1806	1820
498	1807	1814
499	1808	1808
500	1808	1801
501	1821	1806
502	1822	1800
503	1823	1794
504	1824	1788
505	1825	1781
506	1840	1789
507	1841	1783
508	1848	1782
509	1850	1778
510	1851	1772
511	1852	1765
512	1853	1759
513	1854	1753
514	1854	1746
515	1855	1740
516	1862	1740
517	1865	1735
518	1866	1729
519	1867	1723
520	1868	1717
521	1868	1711
522	1869	1705
523	1870	1699
524	1883	1704
525	1885	1699
526	1886	1693
527	1900	1698
528	1901	1692
529	1902	1686
530	1903	1680
531	1908	1679
532	1911	1674
533	1912	1669
534	1914	1663
535	1915	1658
536	1916	1652
537	1917	1646
538	1918	1640
539	1930	1644
540	1932	1639
541	1933	1633
542	1934	1628
543	1948	1633
544	1949	1627
545	1949	1621
546	1950	1615
547	1964	1620
548	1966	1615
549	1970	1611
550	1971	1606
551	1974	1602
552	1975	1596
553	1975	1590
554	1976	1584
555	1977	1579
556	1978	1573
557	1979	1567
558	1981	1563
559	1987	1561
560	1988	1556
561	1989	1550
562	1990	1545
563	1991	1539
564	1992	1533
565	1992	1528
566	1993	1522
567	1998	1520
568	2001	1515
569	2002	1511
570	2004	1505
571	2005	1500
572	2006	1494
573	2007	1489
574	2007	1484
575	2014	1483
576	2017	1479
577	2018	1474
578	2019	1468
579	2020	1463
580	2023	1459
581	2046	1469
582	2049	1465
583	2050	1460
584	2052	1455
585	2053	1450
586	2054	1445
587	2061	1444
588	2064	1440
589	2065	1435
590	2066	1430
591	2067	1425
592	2068	1419
593	2070	1414
594	2074	1412
595	2078	1409
596	2079	1403
597	2080	1398
598	2081	1393
599	2082	1388
600	2083	1382
601	2083	1377
602	2084	1372
603	2085	1367
604	2088	1363
605	2089	1358
606	2090	1353
607	2091	1348
608	2092	1343
609	2092	1338
610	2093	1332
611	2094	1327
612	2095	1322
613	2096	1317
614	2097	1313
615	2098	1308
616	2099	1303
617	2100	1298
618	2102	1294
619	2106	1290
620	2107	1286
621	2108	1281
622	2109	1276
623	2109	1271
624	2111	1266
625	2112	1262
626	2113	1257
627	2114	1252
628	2115	1247
629	2124	1247
630	2125	1242
631	2126	1238
632	2127	1233
633	2127	1228
634	2128	1223
635	2129	1218
636	2130	1213
637	2130	1209
638	2138	1207
639	2139	1203
640	2140	1198
641	2141	1193
642	2141	1189
643	2142	1184
644	2143	1179
645	2144	1175
646	2145	1170
647	2146	1165
648	2148	1162
649	2151	1158
650	2152	1153
651	2153	1149
652	2154	1144
653	2155	1140
654	2156	1135
655	2157	1131
656	2158	1126
657	2159	1122
658	2160	1117
659	2165	1115
660	2169	1112
661	2170	1108
662	2171	1103
663	2172	1099
664	2173	1094
665	2174	1090
666	2174	1085
667	2175	1081
668	2180	1078
669	2182	1075
670	2183	1070
671	2184	1066
672	2187	1062
673	2188	1058
674	2189	1054
675	2190	1049
676	2191	1045
677	2199	1044
678	2200	1040
679	2201	1036
680	2202	1031
681	2203	1027
682	2204	1023
683	2205	1019
684	2206	1014
685	2209	1011
686	2210	1007
687	2211	1003
688	2212	998
689	2213	994
690	2214	990
691	2215	986
692	2216	981
693	2217	977
694	2217	973
695	2218	969
696	2219	964
697	2220	960
698	2220	956
699	2221	952
700	2226	949
701	2227	945
702	2228	941
703	2229	937
704	2230	933
705	2231	929
706	2232	925
707	2233	921
708	2233	916
709	2234	912
710	2235	908
711	2236	904
712	2244	903
713	2245	899
714	2246	895
715	2247	891
716	2248	887
717	2249	883
718	2249	879
719	2250	875
720	2251	871
721	2252	867
722	2256	864
723	2257	860
724	2259	857
725	2260	853
726	2261	849
727	2262	845
728	2263	841
729	2264	837
730	2265	833
731	2266	829
732	2266	825
733	2269	822
734	2270	818
735	2271	814
736	2272	810
737	2273	807
738	2274	803
739	2274	799
740	2275	795
741	2276	791
742	2277	787
743	2278	783
744	2279	780
745	2280	776
746	2280	772
747	2281	768
748	2285	765
749	2286	762
750	2287	758
751	2288	754
752	2289	750
753	2290	747
754	2290	743
755	2292	739
756	2293	736
757	2294	732
758	2295	728
759	2295	725
760	2303	723
761	2304	719
762	2305	716
763	2307	712
764	2308	709
765	2309	705
766	2309	701
767	2310	697
768	2311	694
769	2319	692
770	2320	689
771	2321	685
772	2322	682
773	2323	678
774	2324	674
775	2325	671
776	2326	667
777	2326	663
778	2329	660
779	2331	657
780	2332	653
781	2332	650
782	2334	646
783	2335	643
784	2336	639
785	2337	636
786	2338	632
787	2339	629
788	2340	625
789	2341	622
790	2343	619
791	2345	616
792	2346	612
793	2347	609
794	2349	605
795	2350	602
796	2351	598
797	2351	595
798	2352	591
799	2353	588
800	2354	584
801	2354	581
802	2355	577
803	2358	574
804	2363	572
805	2364	569
806	2365	565
807	2366	562
808	2367	558
809	2368	555
810	2369	552
811	2370	548
812	2371	545
813	2377	543
814	2378	539
815	2379	536
816	2380	533
817	2380	529
818	2381	526
819	2382	523
820	2383	519
821	2384	516
822	2388	513
823	2390	510
824	2391	507
825	2392	503
826	2393	500
827	2393	497
828	2394	493
829	2395	490
830	2396	487
831	2396	483
832	2397	480
833	2398	477
834	2399	474
835	2405	471
836	2406	468
837	2407	465
838	2408	462
839	2409	458
840	2409	455
841	2410	452
842	2411	449
843	2412	445
844	2413	442
845	2414	439
846	2418	436
847	2424	434
848	2425	431
849	2426	428
850	2427	425
851	2428	421
852	2430	418
853	2436	416
854	2438	413
855	2439	410
856	2440	407
857	2441	404
858	2442	400
859	2443	397
860	2443	394
861	2444	391
862	2445	388
863	2447	385
864	2448	382
865	2449	379
866	2450	375
867	2451	372
868	2451	369
869	2452	366
870	2453	363
871	2454	360
872	2455	357
873	2456	354
874	2456	350
875	2457	347
876	2458	344
877	2460	341
878	2463	339
879	2464	336
880	2465	333
881	2466	330
882	2467	326
883	2468	323
884	2469	320
885	2470	317
886	2472	314
887	2472	311
888	2473	308
889	2477	306
890	2481	303
891	2482	300
892	2483	297
893	2484	294
894	2486	291
895	2486	288
896	2487	285
897	2488	282
898	2489	279
899	2490	276
900	2494	274
901	2496	271
902	2497	268
903	2498	265
904	2499	262
905	2499	259
906	2500	256
907	2501	253
908	2503	250
909	2507	248
910	2508	245
911	2510	242
912	2511	239
913	2511	236
914	2512	233
915	2513	230
916	2514	227
917	2515	224
918	2516	221
919	2519	219
920	2520	216
921	2521	213
922	2522	210
923	2523	207
924	2524	204
925	2525	201
926	2526	198
927	2527	196
928	2528	193
929	2528	190
930	2529	187
931	2533	184
932	2537	182
933	2538	179
934	2539	176
935	2540	173
936	2541	170
937	2542	168
938	2543	165
939	2543	162
940	2544	159
941	2545	156
942	2554	154
943	2554	151
944	2555	148
945	2556	145
946	2557	143
947	2558	140
948	2559	137
949	2560	134
950	2564	132
951	2565	129
952	2566	126
953	2567	123
954	2568	121
955	2569	118
956	2570	115
957	2570	112
958	2571	109
959	2572	107
960	2573	104
961	2573	101
962	2574	98
963	2575	96
964	2577	93
965	2578	90
966	2579	88
967	2580	85
968	2581	82
969	2581	79
970	2583	77
971	2584	74
972	2585	71
973	2586	69
974	2587	66
975	2588	63
976	2589	60
977	2590	58
978	2599	55
979	2601	53
980	2602	50
981	2603	47
982	2604	45
983	2604	42
984	2605	39
985	2614	37
986	2616	34
987	2617	31
988	2618	29
989	2619	26
990	2620	23
991	2621	21
992	2624	18
993	2625	15
994	2626	13
995	2627	10
996	2628	7
997	2629	5
998	2630	2
999	2631	0
